ID,Title,Author,Author First Name,Author Last Name,Publisher,Page Count,Genres,ISBN,Published Date,Checkout Date,Checkout Duration,Available Date,Available Status,Checkout,Edit
95,The Marine's E-Mail Order Bride: Heroes of Chance Creek Volume 4,Cora Seton,Cora,Seton,One Acre Press,300,none,9781927036600,7-Jan-15,,,,Available,Checkout,Edit
97,Now or Never: A Novel,Elizabeth Adler,Elizabeth,Adler,Island Books,448,"Fiction, Mystery, Detective, Police Procedural",9780307574961,7-Jul-10,,,,Available,Checkout,Edit
98,Battle Sight Zero,Gerald Seymour,Gerald,Seymour,Hachette UK,448,"Fiction, Thrillers, Suspense",9781473663527,10-Jan-19,,,,Available,Checkout,Edit
99,Shattered Bonds,Faith Hunter,Faith,Hunter,Penguin,400,"Fiction, Fantasy, Contemporary",9780399587993,29-Oct-19,,,,Available,Checkout,Edit
103,"Rogue, Prisoner, Princess (Of Crowns and Glory-Book 2)",Morgan Rice,Morgan,Rice,Morgan Rice,250,"Juvenile Fiction, Fantasy, Magic",9781632918031,3-Aug-16,,,,Available,Checkout,Edit
107,"The Power of Focus: How to Hit Your Business, Personal and Financial Targets with Confidence and Certainty",Jack Canfield,Jack,Canfield,Random House,368,"Business, Economics, Personal Finance, General",9781448176007,30-Sep-13,,,,Available,Checkout,Edit
111,"The Complete Works of William Shakespeare: All 213 Plays, Poems, Sonnets, Apocryphal Plays + The Biography: The Life of William Shakespeare by Sidney Lee: Hamlet - Romeo and Juliet - King Lear - A Midsummer Night's Dream - Macbeth - The Tempest - Othello and many more",William Shakespeare,William,Shakespeare,e-artnow,1424,"Drama, Shakespeare",9788026804758,27-Feb-14,,,,Available,Checkout,Edit
113,Sonic: Tangle & Whisper #3,Ian Flynn,Ian,Flynn,IDW Publishing,30,"Comics & Graphic Novels, Science Fiction",Original pages,23-Oct-19,,,,Available,Checkout,Edit
115,"Assassin's Apprentice (The Farseer Trilogy, Book 1)",Robin Hobb,Robin,Hobb,HarperCollins UK,400,"Fiction, Fantasy, Dragons, Mythical Creatures",9780007374038,1-Sep-11,,,,Available,Checkout,Edit
116,"Captain Marvel Vol. 1: Higher, Further, Faster, More",Kelly Sue Deconnick,Kelly,Deconnick,Marvel Entertainment,136,"Comics, Graphic Novels, Superheroes",9781302401580,8-Oct-14,,,,Available,Checkout,Edit
